geography,year,question_code,question_text,response_category,response_variable,gender,value
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,16
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,12
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,14
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,22
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,12
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,19
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,16
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,11
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,14
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,28
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,16
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,23
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,35
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,28
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,31
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,39
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,25
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,32
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,16
